Crash Cause Statistic,Number
2010 Percentage of Crashes Related to Speed,6.0%
2011 Percentage of Crashes Related to Speed,1.2%
2010 Percentage of Crashes Related to Alcohol,1.33%
2011 Percentage of Crashes Related to Alcohol,3.15%
2010-2011 Comparison of Crashes Overall,-17.8%
2010 Crashes that Caused Injuries,78
2011 Crashes that Caused Injuries,40
