Cases Cleared by Arrest or Which Remain Active/Pending,2009,2010,2011
Murder & Attempts ,0,0,0
Rape & Attempts ,8,11,3
Robbery ,8,9,3
Felonious Assault ,14,11,10
Burglary ,99,85,55
Larceny ,135,343,122
Motor Vehicle Theft ,17,18,13
