Disciplinary Actions - Noncampus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,419022,ACT College,1,Arlington Campus,449,0,0,0
2001,419022,ACT College,2,Alexandria Campus,449,0,0,0
2001,231411,Advanced Technology Institute,1,Advanced Technology Institute - Virginia Beach,349,0,0,0
2001,232797,American National University,1,American National University - Salem,1812,0,0,0
2001,232797,American National University,2,American National University - Charlottesville,1812,0,0,0
2001,232797,American National University,3,American National University - Martinsville,1812,0,0,0
2001,232797,American National University,4,American National University - Lynchburg,1812,0,0,0
2001,232797,American National University,5,American National University - Danville,1812,0,0,0
2001,232797,American National University,6,American National University - Princeton,1812,0,0,0
2001,232797,American National University,7,American National University - Harrisonburg,1812,0,0,0
2001,232797,American National University,8,National College of Business & Technology-Bristol,1812,0,0,0
2001,432348,Appalachian School of Law,1,Main Campus,242,0,0,0
2001,419457,Argosy University-Washington DC,1,Argosy University - Washington,421,0,0,0
2001,231420,Averett University,1,Main Campus,2396,0,0,0
2001,427973,Aviation Institute of Maintenance-Chesapeake,1,Main Campus,180,0,0,0
2001,366793,Baptist Theological Seminary at Richmond,1,Main Campus,222,0,0,0
2001,231280,Bar Palma Beauty Careers Academy,1,Main Campus,34,0,0,0
2001,231536,Blue Ridge Community College,1,Weyers Cave Campus,3197,0,0,0
2001,231536,Blue Ridge Community College,2,BRCC Harrisonburg Center,3197,0,0,0
2001,231554,Bluefield College,1,Main Campus,851,0,0,0
2001,233356,Bon Secours Memorial College of Nursing,1,Main Campus,110,0,0,0
2001,231572,Braxton School,1,Braxton School,47,0,0,0
2001,231581,Bridgewater College,1,Main Campus,1260,0,0,0
2001,231828,Bryant & Stratton College-Richmond,1,Richmond Campus,295,0,0,0
2001,231785,Bryant & Stratton College-Virginia Beach,1,Main Campus,297,0,0,0
2001,441858,Career Training Solutions,1,Main Campus,,0,0,0
2001,231688,Central School of Practical Nursing,1,Main Campus,,0,0,0
2001,231697,Central Virginia Community College,1,Main Campus,4575,0,0,0
2001,420024,Centura College-Chesapeake,1,Centura College,234,0,0,0
2001,377449,Centura College-Newport News,1,Branch Campus,314,0,0,0
2001,377458,Centura College-Norfolk,1,Centura College,419,0,0,0
