Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,37,9
Manslaughter,,3
Forcible Rape,46,5
Robbery,169,13
Aggravated Assault,457,52
Burglary,202,32
Larceny,707,109
Motor Vehicle Theft,188,105
Arson,54,32
SUBTOTAL FOR PART I OFFENSES,"1,863",359
Other Assaults,"1,367",357
Forgery & Counterfeiting,370,4
Fraud,236,2
Embezzlement,19,
"Stolen Property: Buy, Receiving, Poss.",29,5
Vandalism,110,43
"Weapons: Possessing, Etc.",270,38
Prostitution & Commercialized Vice,126,3
Sex Offenses (except Rape & Prostitution),51,16
Narcotic Drug Laws: Sale/Manufacture,858,77
Narcotic Drug Laws: Possession,"1,505",97
Gambling,,2
Offenses Against the Family,52,27
Driving Under the Influence,434,2
Liquor Laws,55,14
Public Drunkenness,"1,044",7
Disorderly Conduct,166,156
All Other (except Traffic),"5,956",272
Curfew & Loitering,,68
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"12,650","1,193"
TOTAL,"14,513","1,552"
