Arrests by Offense,Wythe,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,3,
Robbery,5,
Aggravated Assault,15,4
Burglary,6,4
Larceny,65,12
Motor Vehicle Theft,4,3
Arson,,1
SUBTOTAL FOR PART I OFFENSES,99,24
Other Assaults,134,32
Forgery & Counterfeiting,19,12
Fraud,2,
Embezzlement,1,
"Stolen Property: Buy, Receiving, Poss.",8,
Vandalism,8,8
"Weapons: Possessing, Etc.",26,3
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),1,2
Narcotic Drug Laws: Sale/Manufacture,37,1
Narcotic Drug Laws: Possession,100,4
Gambling,,
Offenses Against the Family,1,
Driving Under the Influence,151,6
Liquor Laws,44,18
Public Drunkenness,255,5
Disorderly Conduct,37,3
All Other (except Traffic),744,21
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,2
SUBTOTAL FOR PART II OFFENSES,"1,568",117
TOTAL,"1,667",141
