Arrests by Offense,Nelson,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,
Robbery,,
Aggravated Assault,3,1
Burglary,6,
Larceny,5,1
Motor Vehicle Theft,3,
Arson,,
SUBTOTAL FOR PART I OFFENSES,17,2
Other Assaults,51,2
Forgery & Counterfeiting,12,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,2,16
"Weapons: Possessing, Etc.",6,2
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,5,1
Narcotic Drug Laws: Possession,12,3
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,60,1
Liquor Laws,4,
Public Drunkenness,9,
Disorderly Conduct,7,6
All Other (except Traffic),156,12
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,324,43
TOTAL,341,45
