Arrests by Offense,Buena Vista,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,
Robbery,,
Aggravated Assault,14,1
Burglary,1,
Larceny,4,1
Motor Vehicle Theft,,
Arson,,
SUBTOTAL FOR PART I OFFENSES,19,2
Other Assaults,20,
Forgery & Counterfeiting,,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,2,
"Weapons: Possessing, Etc.",,2
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,15,
Narcotic Drug Laws: Possession,15,
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,20,
Liquor Laws,1,2
Public Drunkenness,39,3
Disorderly Conduct,2,
All Other (except Traffic),43,
Curfew & Loitering,,1
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,157,8
TOTAL,176,10
