Arrests by Offense,Waynesboro,
,Adult,Juvenile
Murder,,1
Manslaughter,,
Forcible Rape,1,1
Robbery,,7
Aggravated Assault,48,4
Burglary,25,9
Larceny,118,2
Motor Vehicle Theft,15,13
Arson,,
SUBTOTAL FOR PART I OFFENSES,207,37
Other Assaults,334,
Forgery & Counterfeiting,59,8
Fraud,180,
Embezzlement,8,
"Stolen Property: Buy, Receiving, Poss.",6,5
Vandalism,53,
"Weapons: Possessing, Etc.",58,5
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),9,1
Narcotic Drug Laws: Sale/Manufacture,91,3
Narcotic Drug Laws: Possession,103,10
Gambling,,
Offenses Against the Family,81,
Driving Under the Influence,216,4
Liquor Laws,69,
Public Drunkenness,340,6
Disorderly Conduct,20,6
All Other (except Traffic),"1,010",225
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,88
SUBTOTAL FOR PART II OFFENSES,"2,637",361
TOTAL,"2,844",398
