Arrests by Offense,Albemarle,
,Adult,Juvenile
Murder,2,
Manslaughter,,
Forcible Rape,3,
Robbery,3,1
Aggravated Assault,16,2
Burglary,9,2
Larceny,211,115
Motor Vehicle Theft,2,1
Arson,1,2
SUBTOTAL FOR PART I OFFENSES,247,123
Other Assaults,207,21
Forgery & Counterfeiting,15,
Fraud,24,
Embezzlement,22,1
"Stolen Property: Buy, Receiving, Poss.",7,
Vandalism,28,8
"Weapons: Possessing, Etc.",36,1
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),10,
Narcotic Drug Laws: Sale/Manufacture,23,3
Narcotic Drug Laws: Possession,170,34
Gambling,,
Offenses Against the Family,3,
Driving Under the Influence,231,2
Liquor Laws,90,60
Public Drunkenness,152,2
Disorderly Conduct,42,11
All Other (except Traffic),"1,426",75
Curfew & Loitering,,1
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"2,486",219
TOTAL,"2,733",342
