Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,3,
Robbery,2,
Aggravated Assault,23,1
Burglary,14,8
Larceny,74,21
Motor Vehicle Theft,4,
Arson,,
SUBTOTAL FOR PART I OFFENSES,120,30
Other Assaults,209,33
Forgery & Counterfeiting,14,1
Fraud,16,
Embezzlement,6,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,11,6
"Weapons: Possessing, Etc.",18,6
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),4,1
Narcotic Drug Laws: Sale/Manufacture,4,
Narcotic Drug Laws: Possession,91,10
Gambling,,1
Offenses Against the Family,6,
Driving Under the Influence,191,4
Liquor Laws,26,16
Public Drunkenness,74,5
Disorderly Conduct,18,12
All Other (except Traffic),678,100
Curfew & Loitering,,11
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"1,369",210
TOTAL,"1,489",240
