Arrests by Offense,Bedford,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,1,
Robbery,2,
Aggravated Assault,9,1
Burglary,1,2
Larceny,28,6
Motor Vehicle Theft,4,1
Arson,,
SUBTOTAL FOR PART I OFFENSES,45,10
Other Assaults,79,6
Forgery & Counterfeiting,14,
Fraud,10,
Embezzlement,4,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,7,1
"Weapons: Possessing, Etc.",7,1
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,2
Narcotic Drug Laws: Sale/Manufacture,1,
Narcotic Drug Laws: Possession,17,3
Gambling,2,
Offenses Against the Family,,
Driving Under the Influence,53,
Liquor Laws,13,4
Public Drunkenness,55,1
Disorderly Conduct,9,1
All Other (except Traffic),202,50
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,4
SUBTOTAL FOR PART II OFFENSES,475,73
TOTAL,520,83
