Arrests by Offense,Shenandoah,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,2,
Robbery,1,
Aggravated Assault,62,5
Burglary,19,15
Larceny,95,45
Motor Vehicle Theft,8,2
Arson,,7
SUBTOTAL FOR PART I OFFENSES,187,74
Other Assaults,85,9
Forgery & Counterfeiting,13,3
Fraud,153,2
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",1,
Vandalism,29,12
"Weapons: Possessing, Etc.",18,9
Prostitution & Commercialized Vice,1,
Sex Offenses (except Rape & Prostitution),3,1
Narcotic Drug Laws: Sale/Manufacture,50,1
Narcotic Drug Laws: Possession,67,8
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,225,4
Liquor Laws,107,51
Public Drunkenness,235,8
Disorderly Conduct,16,11
All Other (except Traffic),483,57
Curfew & Loitering,,3
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"1,486",180
TOTAL,"1,673",254
