Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,1,
Robbery,8,1
Aggravated Assault,6,2
Burglary,5,8
Larceny,73,18
Motor Vehicle Theft,6,3
Arson,1,
SUBTOTAL FOR PART I OFFENSES,100,32
Other Assaults,91,6
Forgery & Counterfeiting,6,
Fraud,,
Embezzlement,4,
"Stolen Property: Buy, Receiving, Poss.",5,1
Vandalism,11,
"Weapons: Possessing, Etc.",10,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,8,
Narcotic Drug Laws: Possession,44,1
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,35,1
Liquor Laws,41,2
Public Drunkenness,44,1
Disorderly Conduct,23,1
All Other (except Traffic),273,3
Curfew & Loitering,,7
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,597,23
TOTAL,697,55
