Arrests by Offense,Loudoun,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,2,1
Robbery,2,4
Aggravated Assault,83,19
Burglary,22,12
Larceny,281,44
Motor Vehicle Theft,20,15
Arson,,1
SUBTOTAL FOR PART I OFFENSES,411,96
Other Assaults,349,58
Forgery & Counterfeiting,17,
Fraud,43,2
Embezzlement,26,8
"Stolen Property: Buy, Receiving, Poss.",7,5
Vandalism,23,86
"Weapons: Possessing, Etc.",22,8
Prostitution & Commercialized Vice,2,
Sex Offenses (except Rape & Prostitution),5,5
Narcotic Drug Laws: Sale/Manufacture,45,2
Narcotic Drug Laws: Possession,130,16
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,302,2
Liquor Laws,52,9
Public Drunkenness,244,2
Disorderly Conduct,12,1
All Other (except Traffic),278,77
Curfew & Loitering,,22
"Runaways, Juveniles Apprehended",,2
SUBTOTAL FOR PART II OFFENSES,"1,557",305
TOTAL,"1,968",401
