Arrests by Offense,Rockingham,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,3,
Robbery,3,
Aggravated Assault,7,
Burglary,14,3
Larceny,39,15
Motor Vehicle Theft,2,3
Arson,,3
SUBTOTAL FOR PART I OFFENSES,69,24
Other Assaults,93,1
Forgery & Counterfeiting,17,
Fraud,5,
Embezzlement,2,
"Stolen Property: Buy, Receiving, Poss.",1,2
Vandalism,7,15
"Weapons: Possessing, Etc.",14,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,13,
Narcotic Drug Laws: Possession,86,4
Gambling,,
Offenses Against the Family,1,
Driving Under the Influence,129,4
Liquor Laws,50,14
Public Drunkenness,125,1
Disorderly Conduct,31,4
All Other (except Traffic),"1,978",149
Curfew & Loitering,,17
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"2,554",211
TOTAL,"2,623",235
