Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,9,3
Manslaughter,,
Forcible Rape,28,4
Robbery,88,17
Aggravated Assault,274,42
Burglary,192,88
Larceny,579,198
Motor Vehicle Theft,59,88
Arson,5,13
SUBTOTAL FOR PART I OFFENSES,"1,234",453
Other Assaults,"1,355",153
Forgery & Counterfeiting,67,2
Fraud,83,1
Embezzlement,46,5
"Stolen Property: Buy, Receiving, Poss.",49,40
Vandalism,176,57
"Weapons: Possessing, Etc.",149,47
Prostitution & Commercialized Vice,60,
Sex Offenses (except Rape & Prostitution),28,19
Narcotic Drug Laws: Sale/Manufacture,315,31
Narcotic Drug Laws: Possession,"1,219",157
Gambling,,1
Offenses Against the Family,128,10
Driving Under the Influence,381,3
Liquor Laws,81,27
Public Drunkenness,980,10
Disorderly Conduct,66,30
All Other (except Traffic),"1,699",713
Curfew & Loitering,,322
"Runaways, Juveniles Apprehended",,334
SUBTOTAL FOR PART II OFFENSES,"6,883","1,962"
TOTAL,"8,117","2,415"
