Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,10,1
Manslaughter,,
Forcible Rape,14,3
Robbery,62,39
Aggravated Assault,195,38
Burglary,156,112
Larceny,"1,485",648
Motor Vehicle Theft,89,82
Arson,3,22
SUBTOTAL FOR PART I OFFENSES,"2,014",945
Other Assaults,"1,243",386
Forgery & Counterfeiting,78,4
Fraud,20,1
Embezzlement,2,
"Stolen Property: Buy, Receiving, Poss.",17,3
Vandalism,79,133
"Weapons: Possessing, Etc.",137,47
Prostitution & Commercialized Vice,9,
Sex Offenses (except Rape & Prostitution),7,4
Narcotic Drug Laws: Sale/Manufacture,149,23
Narcotic Drug Laws: Possession,755,154
Gambling,,2
Offenses Against the Family,17,1
Driving Under the Influence,753,17
Liquor Laws,166,120
Public Drunkenness,790,27
Disorderly Conduct,50,16
All Other (except Traffic),"4,013",376
Curfew & Loitering,,245
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"8,287","2,182"
TOTAL,"10,301","3,127"
