Arrests by Offense,Caroline,
,Adult,Juvenile
Murder,2,
Manslaughter,,
Forcible Rape,9,
Robbery,3,2
Aggravated Assault,28,6
Burglary,16,7
Larceny,43,3
Motor Vehicle Theft,3,2
Arson,,
SUBTOTAL FOR PART I OFFENSES,104,20
Other Assaults,226,12
Forgery & Counterfeiting,2,
Fraud,18,
Embezzlement,3,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,21,20
"Weapons: Possessing, Etc.",17,2
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),10,2
Narcotic Drug Laws: Sale/Manufacture,1,
Narcotic Drug Laws: Possession,29,1
Gambling,,
Offenses Against the Family,15,
Driving Under the Influence,86,
Liquor Laws,18,1
Public Drunkenness,20,
Disorderly Conduct,13,2
All Other (except Traffic),257,13
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",2,
SUBTOTAL FOR PART II OFFENSES,736,53
TOTAL,840,73
