Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,8,
Robbery,2,
Aggravated Assault,41,2
Burglary,36,18
Larceny,91,25
Motor Vehicle Theft,2,1
Arson,7,3
SUBTOTAL FOR PART I OFFENSES,188,49
Other Assaults,168,15
Forgery & Counterfeiting,29,
Fraud,3,2
Embezzlement,7,1
"Stolen Property: Buy, Receiving, Poss.",5,4
Vandalism,18,30
"Weapons: Possessing, Etc.",15,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),5,
Narcotic Drug Laws: Sale/Manufacture,7,2
Narcotic Drug Laws: Possession,29,13
Gambling,,
Offenses Against the Family,3,
Driving Under the Influence,156,5
Liquor Laws,20,4
Public Drunkenness,119,1
Disorderly Conduct,25,11
All Other (except Traffic),"1,346",126
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",223,
SUBTOTAL FOR PART II OFFENSES,"1,955",220
TOTAL,"2,143",269
