Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,4,1
Manslaughter,2,3
Forcible Rape,16,2
Robbery,44,6
Aggravated Assault,120,38
Burglary,94,43
Larceny,636,195
Motor Vehicle Theft,40,16
Arson,7,13
SUBTOTAL FOR PART I OFFENSES,964,314
Other Assaults,"1,047",228
Forgery & Counterfeiting,59,3
Fraud,43,4
Embezzlement,34,5
"Stolen Property: Buy, Receiving, Poss.",13,3
Vandalism,61,48
"Weapons: Possessing, Etc.",145,28
Prostitution & Commercialized Vice,45,
Sex Offenses (except Rape & Prostitution),22,8
Narcotic Drug Laws: Sale/Manufacture,98,8
Narcotic Drug Laws: Possession,274,47
Gambling,5,
Offenses Against the Family,55,
Driving Under the Influence,368,3
Liquor Laws,124,3
Public Drunkenness,"1,640",5
Disorderly Conduct,42,88
All Other (except Traffic),"2,695",231
Curfew & Loitering,,9
"Runaways, Juveniles Apprehended",,241
SUBTOTAL FOR PART II OFFENSES,"6,765",962
TOTAL,"7,729","1,276"
