Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,9,3
Manslaughter,,1
Forcible Rape,10,1
Robbery,58,40
Aggravated Assault,187,52
Burglary,100,109
Larceny,891,234
Motor Vehicle Theft,40,27
Arson,6,17
SUBTOTAL FOR PART I OFFENSES,"1,302",483
Other Assaults,"1,465",342
Forgery & Counterfeiting,122,4
Fraud,319,4
Embezzlement,110,2
"Stolen Property: Buy, Receiving, Poss.",29,6
Vandalism,106,24
"Weapons: Possessing, Etc.",165,16
Prostitution & Commercialized Vice,2,
Sex Offenses (except Rape & Prostitution),70,28
Narcotic Drug Laws: Sale/Manufacture,99,14
Narcotic Drug Laws: Possession,949,72
Gambling,,
Offenses Against the Family,10,
Driving Under the Influence,"1,948",19
Liquor Laws,178,58
Public Drunkenness,"1,176",62
Disorderly Conduct,136,82
All Other (except Traffic),"2,232",333
Curfew & Loitering,,477
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"9,116","2,354"
TOTAL,"10,418","2,837"
