Arrests by Offense,Chesapeake,
,Adult,Juvenile
Murder,4,
Manslaughter,,
Forcible Rape,10,5
Robbery,29,23
Aggravated Assault,157,34
Burglary,42,66
Larceny,363,235
Motor Vehicle Theft,42,26
Arson,4,2
SUBTOTAL FOR PART I OFFENSES,651,391
Other Assaults,569,175
Forgery & Counterfeiting,43,5
Fraud,47,
Embezzlement,15,1
"Stolen Property: Buy, Receiving, Poss.",12,6
Vandalism,32,41
"Weapons: Possessing, Etc.",94,45
Prostitution & Commercialized Vice,1,
Sex Offenses (except Rape & Prostitution),16,17
Narcotic Drug Laws: Sale/Manufacture,55,8
Narcotic Drug Laws: Possession,496,88
Gambling,,
Offenses Against the Family,9,
Driving Under the Influence,408,5
Liquor Laws,119,29
Public Drunkenness,480,2
Disorderly Conduct,51,7
All Other (except Traffic),"1,480",165
Curfew & Loitering,,14
"Runaways, Juveniles Apprehended",,332
SUBTOTAL FOR PART II OFFENSES,"3,927",940
TOTAL,"4,578","1,331"
