Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,2,
Manslaughter,,1
Forcible Rape,6,
Robbery,21,
Aggravated Assault,58,
Burglary,35,
Larceny,187,5
Motor Vehicle Theft,3,
Arson,1,
SUBTOTAL FOR PART I OFFENSES,314,5
Other Assaults,590,
Forgery & Counterfeiting,11,
Fraud,5,
Embezzlement,7,
"Stolen Property: Buy, Receiving, Poss.",10,
Vandalism,44,
"Weapons: Possessing, Etc.",53,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),11,
Narcotic Drug Laws: Sale/Manufacture,9,
Narcotic Drug Laws: Possession,152,
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,167,
Liquor Laws,3,
Public Drunkenness,135,
Disorderly Conduct,15,
All Other (except Traffic),"1,542",2
Curfew & Loitering,,1
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,"2,754",3
TOTAL,"3,068",8
