Circumstances of Aggravated Assaults,Number
Argument,4486
Assault on Law Officer,641
Drug Dealing,70
Gangland,32
Juvenile Gang,47
Lover’s Quarrel,387
Other Felony Involved,49
Other Circumstances,2202
Unknown Circumstances,3829
