Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,2672,3661,83.69
Curfew/Loitering/Vagrancy Violations,1963,856,37.25
Disorderly Conduct,4776,2127,91.22
Driving Under the Influence,20284,4565,328.36
Drunkenness,23788,3753,363.94
"Family Offenses, Nonviolent",981,458,19.02
Liquor Law Violations,7687,2726,137.6
Peeping Tom,74,2,1
Runaway,1976,2516,59.36
Trespass of Real Property,7049,1844,117.52
Conspiracy to Commit Group A Offense,106,30,1.8
Conspiracy to Commit Group B Offense,21,6,0.36
All Other Offenses,67957,24200,1217.8
Total Group B Arrests,139334,46744,2458.92
