Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,137,10.6
One-Man Vehicle,,
Alone,375,29
Assisted,433,33.5
Detective or Special Assignment,,
Alone,12,0.9
Assisted,30,2.3
Other Assignments,,
Alone,74,5.7
Assisted,232,17.9
