Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,3,25,48,76
Stolen Property Offenses,1,4,41,29,41,39,155
Destruction/Damage/Vandalism,28,175,416,266,254,251,1390
Drug/Narcotic Violations,1,29,318,427,765,1013,2553
Drug Equipment Violations,0,0,1,6,10,6,23
Incest,0,0,2,1,0,0,3
Statutory Rape,0,0,1,0,3,10,14
Pornography/Obscene Material,0,0,0,0,1,1,2
Betting/Wagering,0,0,2,4,2,3,11
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,0,1,1
Assisting or Promoting Prostitution,0,0,0,0,0,1,1
Bribery,0,0,0,0,0,1,1
Weapon Law Violations,2,65,201,130,164,162,724
Total Group A Arrests,131,1415,4538,3495,4082,4276,17937
Bad Checks,0,0,1,1,1,4,7
Curfew/Loitering/Vagrancy Violations,3,66,455,506,784,887,2701
Disorderly Conduct,3,149,568,425,424,337,1906
Driving Under the Influence,0,0,1,3,35,130,169
Drunkenness,1,1,22,37,59,103,223
"Family Offenses, Nonviolent",0,0,10,4,3,3,20
Liquor Law Violations,0,4,131,216,435,738,1524
Peeping Tom,0,0,1,0,0,0,1
Runaway,12,196,1099,1103,1116,964,4490
Trespass of Real Property,8,49,223,209,264,305,1058
Conspiracy to Commit Group A Offense,0,0,1,3,2,3,9
Conspiracy to Commit Group B Offense,0,0,2,0,1,0,3
All Other Offenses,39,262,1285,1409,1703,1860,6558
Total Group B Arrests,66,727,3799,3916,4827,5334,18669
