Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,132,108,24,43
Ches. Bay Brdg. Tunnel PD,45,42,3,42
Div. of Capitol Police,77,70,7,14
Dept of Conservation & Rec,92,83,9,128
Southside VA Trng Center,18,16,2,2
Richmond Int'l Airport,33,29,4,1
VA Port Authority,76,70,6,7
Norfolk Arpt Authority,33,31,2,7
Metro. Wash.Airport Auth.,185,151,34,62
Virginia State Police,1903,1806,97,664
OTHER AGENCY TOTAL,2594,2406,188,970
