COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,90400,4851.76,4386,2,13,30,43,26,90,1079,24,4,270,1701,117,41,337,71,8,1009,321,4,9,0,2,0,80
State Police,,,35,0,0,1,0,0,3,0,0,0,0,2,0,4,7,0,0,3,15,0,0,0,0,0,1
Arlington County PD6,195600,4686.6,9167,5,19,36,84,163,204,1262,9,3,357,3668,419,188,894,82,90,1569,763,4,7,4,19,0,103
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD,286500,6066.31,17380,8,71,42,193,242,304,4784,97,6,1350,6228,567,287,964,162,42,4359,1145,7,13,1,35,0,418
State Police,,,156,0,0,0,0,0,2,3,0,0,0,2,3,1,1,1,0,0,146,0,0,0,0,0,0
Fairfax County PDi,985584,3416.55,33673,12,310,50,78,266,196,6999,119,6,138,13187,1083,273,1779,220,72,10735,1371,0,14,2,101,2,587
State Police,,,210,0,2,3,3,1,8,17,0,0,0,4,27,3,26,0,1,4,116,0,0,0,0,1,8
Henrico County PD,283300,6829.15,19347,13,110,36,44,314,372,3329,83,1,1481,8782,724,413,641,36,39,4122,1641,9,3,0,13,0,405
State Police,,,51,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,45,0,0,0,0,0,1
James City County PD,56600,3459.36,1958,1,8,9,27,8,40,544,16,0,137,575,54,39,144,22,8,521,121,1,0,0,0,0,33
State Police,,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,2
Prince George County PD,36900,2582.65,953,1,5,6,28,10,20,165,2,0,99,301,32,19,34,7,4,240,123,2,0,0,0,0,18
State Police,,,31,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29,0,0,0,0,0,0
Prince William County PD,348056,4795.77,16692,13,71,24,152,254,357,2825,91,2,1172,5884,630,263,862,150,56,3420,1410,16,4,0,1,1,326
State Police,,,135,0,0,0,0,0,8,5,0,0,0,10,20,1,14,4,1,5,69,0,1,0,0,0,4
Roanoke County PD,82258,3530.35,2904,1,19,21,47,12,178,922,19,1,260,837,65,89,230,33,4,350,383,0,2,0,1,1,61
State Police,,,24,0,0,0,0,0,2,3,0,0,0,1,2,1,6,0,0,0,9,0,0,0,0,0,2
