COUNTY TOTAL,8552,7575,977,2094
OTHER AGENCY TOTAL,2594,2406,188,970
CITY TOTAL,5691,5007,684,1619
COLLEGE AND UNIVERSITY TOTAL,496,418,78,301
STATE TOTAL,17333,15406,1927,4984
