Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0,1,0,319,18
Manslaughter,0,0,0,0,0,0,8,0
Kidnaping,2,0,0,0,2,0,812,60
"Sex Offenses, Forcible",6,3,0,0,6,3,1015,227
Robbery,3,0,0,0,3,0,1402,438
Aggravated Assault,9,1,2,1,11,2,4090,674
Simple Assault/Intimidation,70,6,21,1,91,7,30796,5147
Arson,1,0,0,0,1,0,163,172
Extortion/Blackmail,0,0,0,0,0,0,20,13
Burglary,4,0,0,0,4,0,2838,1126
Larceny,45,6,33,1,78,7,17408,4582
Motor Vehicle Theft,0,2,10,0,10,2,1036,353
Counterfeiting/Forgery,18,0,27,0,45,0,2291,75
Fraud,12,0,46,0,58,0,3246,98
Embezzlement,8,0,19,0,27,0,1473,76
Stolen Property,12,1,1,0,13,1,839,155
Vandalism,16,4,0,0,16,4,2977,1390
Drug/Narcotic Offenses,274,13,124,7,398,20,27498,2576
"Sex Offenses, Nonforcible",0,0,0,0,0,0,134,17
Pornography,2,0,1,0,3,0,64,2
Gambling,0,0,1,0,1,0,61,11
Prostitution,0,0,1,0,1,0,780,2
Bribery,0,0,0,0,0,0,12,1
Weapon Law Violations,18,0,87,6,105,6,3284,724
TOTAL GROUP A,501,36,373,16,874,52,102566,17937
Bad Checks,1,0,2,0,3,0,6326,7
Curfew/Loitering/Vagrancy,0,1,0,0,0,1,118,2701
Disorderly Conduct,67,2,21,1,88,3,4997,1906
Driving Under Influence,358,4,119,0,477,4,24680,169
Drunkenness,676,1,189,0,865,1,27318,223
"Family Offenses, Nonforcible",2,0,3,0,5,0,1419,20
Liquor Laws Violations,995,22,1496,85,2491,107,18889,1524
Peeping Tom,1,0,0,0,1,0,75,1
Runaway,0,1,0,0,0,1,2,4490
Trespass of Real Property,175,1,19,1,194,2,7835,1058
Conspiracy,0,0,0,0,0,0,151,12
All Other (except Traffic),526,4,699,40,1225,44,85599,6558
TOTAL GROUP B,2801,36,2548,127,5349,163,167409,18669
GRAND TOTAL,3302,72,2921,143,6223,215,269975,36606
