Classification,Number of Offenses
Pocket-Picking,363
Purse-Snatching,304
Shoplifting,21697
Theft From Building,21361
Theft From Coin-Operated Machine,1047
Theft From Motor Vehicles,33796
Theft of Motor Vehicle Parts & Accessories,15096
All Other Larceny,62374
TOTAL,156038
