Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,0,1,0,3,2,4,3
Counterfeiting/Forgery,1364,1442,1365,1295,1476,1003,720
Destruction/Vandalism,12752,11637,11766,11780,14864,15472,12948
Embezzlement,468,516,462,441,568,491,280
Extortion,8,14,10,11,10,11,8
Fraud,2999,2903,2879,2696,2947,2230,1519
Stolen Property,212,214,251,210,209,197,162
Total,17803,16727,16733,16436,20076,19408,15640
