Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,136,152,194,175,207,233,231,1028,1061,978,826,519,283,169,68,66,6326
Curfew/Loitering/Vagrancy,16,10,2,3,4,3,3,5,5,5,9,18,21,9,3,2,118
Disorderly Conduct,343,316,301,294,292,276,222,802,529,497,482,334,160,77,35,37,4997
Driving Under the Influence,460,749,850,1197,1232,1213,1132,4228,2970,2729,2831,2222,1421,750,366,330,24680
Drunkenness,653,818,807,1245,1181,1076,950,3597,2719,3145,3914,3571,1969,995,376,302,27318
"Family Offenses, Nonviolent",23,34,34,37,46,47,57,260,226,239,190,134,56,13,12,11,1419
Liquor Laws,1808,1933,1584,273,210,149,153,480,360,435,475,442,279,174,76,58,8889
Peeping Tom,1,2,1,2,1,3,4,14,15,9,11,8,3,0,1,0,75
Runaway,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Trespass to Real Property,648,506,453,394,350,297,265,1000,760,755,807,741,477,193,103,86,7835
Conspiracy to Commit Group A Offense,9,14,14,3,3,5,7,24,15,12,5,11,2,3,0,0,127
Conspiracy to Commit Group B Offense,0,2,3,2,3,0,2,1,4,1,2,2,1,1,0,0,24
All Other Offenses,2936,3856,4060,4068,3880,3697,3377,14077,11114,10714,9616,6812,3599,1837,900,1056,85599
Total Group B Offenses,7033,8393,8304,7693,7409,6999,6403,25516,19778,19519,19168,14814,8271,4221,1940,1948,167409
