Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,67,32,18,25,66,41,77,67,55,73,53,45,70
Tuesday,69,24,16,18,65,44,64,75,66,51,52,47,68
Wednesday,79,24,10,30,53,48,77,47,77,49,50,52,47
Thursday,68,28,11,16,69,50,77,75,61,55,51,57,62
Friday,98,36,17,31,62,60,80,67,79,59,63,83,70
Saturday,163,71,38,26,66,40,61,43,42,62,82,101,62
Sunday,106,61,44,26,41,22,43,44,54,46,72,52,29
TOTAL,650,276,154,172,422,305,479,418,434,395,423,437,408
