Type Security of Structure,Number
Alarm/Audio,1179
Alarm/Silent,298
Bars/Grate,85
Camera,364
Dog,148
Dead Bolt,1880
Locked,9134
Unlocked,1854
Exterior Lights,298
Interior Lights,94
Fence,193
Guard,95
Neighborhood Watch,11
Other,180
None,2857
