Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,210,0,0,2,2,0,4,15,0,0,4,101,0,0,2,1,3,60,30,0,0,0,0,0,0
Emory & Henry Campus Police,,,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Ferrum College Police,,,70,0,0,2,2,0,2,9,4,0,5,22,0,0,0,0,0,10,15,0,0,0,0,0,1
George Mason University PD,,,575,0,2,1,1,3,4,33,1,0,9,297,7,10,20,2,0,106,104,0,2,0,0,0,1
Hampton University PD,,,231,0,0,0,1,0,1,17,0,0,48,115,3,2,14,0,0,26,9,0,1,0,0,0,3
James Madison University PD,,,336,0,0,0,3,1,0,25,0,0,5,146,3,1,10,1,1,131,45,0,1,0,0,0,2
Longwood College PD,,,123,0,0,4,2,2,0,14,1,0,1,54,0,1,2,0,0,34,11,0,0,0,0,0,0
Mary Washington College PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk State University PD,,,388,0,0,0,2,10,5,26,2,0,52,181,6,2,4,0,2,90,10,0,0,0,0,0,5
N. Virginia Comm College PD,,,201,0,1,0,0,1,3,18,1,0,0,109,1,1,0,0,0,69,1,0,1,0,0,0,1
Old Dominion Campus PD,,,261,0,0,1,0,3,0,17,0,0,1,76,6,3,1,1,1,146,10,0,0,0,0,0,2
Radford University PD,,,236,0,0,1,1,0,5,13,5,0,9,114,0,1,8,0,0,66,30,0,0,0,0,0,1
Thomas Nelson Comm Col PD,,,46,0,0,0,0,0,0,6,0,0,1,32,0,1,2,0,0,4,0,0,0,0,0,0,0
University of Richmond PD,,,323,0,0,0,1,0,4,15,2,0,6,159,3,1,0,0,0,132,25,0,1,0,0,0,1
University of Virginia PD,,,576,0,0,3,3,1,8,71,9,0,13,320,3,2,13,3,0,127,42,0,1,0,1,0,5
UVA's College at Wise PD,,,5,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD,,,1024,1,0,1,5,12,14,112,3,0,22,543,17,15,26,2,3,71,221,0,0,0,0,0,51
Virginia Tech Police Department0,,,455,0,1,4,1,0,1,58,9,0,18,234,4,13,17,1,3,99,30,0,2,0,0,0,5
VA Western Comm. College PD,,,30,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,11,0,0,0,0,0,0,0
VMI Post Police,,,35,0,0,0,0,0,0,2,0,0,2,27,0,0,0,0,0,3,1,0,0,0,0,0,0
Virginia State Univ. Police,,,243,0,0,1,2,2,3,35,0,0,8,133,1,1,4,0,2,60,6,0,0,0,0,0,0
William & Mary College PD,,,318,0,0,4,2,0,2,9,1,0,14,179,3,0,6,0,0,99,3,0,1,0,0,0,0
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
