,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,118,129,153,172,131,142,154,141,144,122,131,116
"Assault, Aggrav.",733,667,782,887,962,923,1007,872,879,872,795,770
"Assault, Other",6462,5902,7005,7361,7718,7318,7424,7037,7427,7245,6413,5728
Bribery,0,0,1,4,1,1,1,3,1,0,1,0
Burglary,2145,1776,2205,2198,2401,2404,2671,2706,2693,2796,2727,2423
Counterfeiting,807,642,842,779,693,784,747,771,701,694,617,588
Destruction,6500,5958,7662,7688,7747,8214,8773,8524,7595,7800,6683,7075
Drug,3331,3603,3786,3777,3813,3575,3404,3755,3511,3507,3050,3126
Embezzlement,310,234,255,238,292,249,290,327,256,262,246,267
Extortion,6,3,3,8,7,3,6,5,5,3,15,8
Fraud,1610,1380,1604,1547,1531,1571,1646,1572,1458,1526,1431,1297
Gambling,6,5,5,7,5,5,8,2,2,6,4,1
"Homicide, Murder",35,26,34,30,42,48,50,40,28,34,33,32
"Homicide, Neg.",1,2,2,0,0,2,1,0,0,2,1,0
Kidnapping,152,143,150,147,164,157,174,160,150,163,139,106
Larceny,11536,10202,12737,13391,13665,14454,14457,14943,13622,13502,12066,11463
MV Theft,1239,1000,1182,1201,1265,1349,1543,1586,1569,1406,1275,1249
Pornography,24,15,19,16,13,15,18,19,28,22,20,20
Prostitution,61,66,98,93,76,72,59,127,108,101,66,66
Robbery,606,429,492,532,613,625,646,675,682,739,729,718
"Forcible Sex, Rape",152,109,127,123,154,163,177,156,158,141,125,91
"Forcible Sex, Other",288,234,255,306,298,322,313,288,267,248,265,213
Nonforcible Sex,25,17,25,20,20,26,23,27,24,21,14,14
Stolen Property,129,95,112,118,134,131,150,146,121,111,118,90
Weapon Laws,806,742,909,945,1005,899,924,920,878,961,846,853
Group A Offenses,37082,33379,40445,41588,42750,43452,44666,44802,42307,42284,38810,36314
Group A Incidents,36192,31860,37940,39050,39671,40170,41240,41471,39096,38814,35505,33355
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
