Time of Offense,Percentage of Robberies
6:00 a.m. - 11:59 a.m.,9.30%
Noon - 5:59 p.m.,18.30%
6:00 p.m. - 11:59 p.m.,46.20%
Midnight - 5:59 a.m.,24.40%
Unknown,1.80%
