Location,Total
Air/Bus/Train Terminal,52
Bank/Savings & Loan,11
Bar/Night Club,34
Church/Synagogue/Temple,30
Commercial/Office Building,307
Construction Site,61
Convenience Store,165
Department/Discount Store,48
Drug Store/Dr Office/Hospital,31
Field/Woods,73
Government/Public Building,26
Grocery/Supermarket,40
Highway/Road/Alley,3767
Hotel/Motel/Etc.,174
Jail/Penitentiary,8
Lake/Waterway,6
Liquor Store,1
Parking Lot/Garage,4361
Rental/Storage Facility,68
Residence/Home,5386
Restaurant,63
School/College,79
Service/Gas Station,221
Specialty Store,143
Other/Unknown,709
TOTAL,15864
