Police Agency Trained by NPD K-9 Unit,Number of Dog Teams Trained
Accomack County Sheriff’s Office,1 team
Chesapeake Police Department,1 team
Newport News Police Department,1 team
Portsmouth Police Department,2 teams
Suffolk Police Department,2 teams
