Crime,Total,Percentage
Arson,43,0%
Homicide,30,0%
Rape,102,1%
Robbery,416,4%
Aggravated Assault,738,6%
Burglary,2040,17%
Larceny,8040,66%
Stolen Vehicle,749,6%
