Month,2010,2011,2012,2013
January,60,62,92,78
February,48,54,89,67
March,86,80,98,70
April,78,71,103,96
May,80,82,89,69
June,84,85,77,67
July,78,95,71,97
August,80,85,71,68
September,85,92,78,76
October,57,119,115,81
November,77,83,62,71
December,60,124,69,61
Total,873,1032,1014,901
