Month,2010,2011,2012,2013
January,438,541,495,462
February,353,465,494,402
March,490,500,600,456
April,477,525,554,514
May,592,598,652,535
June,591,580,581,523
July,607,554,574,568
August,558,540,583,546
September,531,536,529,557
October,481,537,522,569
November,483,492,414,511
December,434,520,452,517
Total,6035,6388,6450,6160
