Month,2010,2011,2012,2013
January,229,178,211,161
February,136,230,198,154
March,184,118,179,226
April,214,151,171,124
May,163,156,146,125
June,125,224,109,114
July,205,167,106,157
August,131,205,88,176
September,127,200,139,174
October,122,167,158,136
November,100,256,154,160
December,138,161,174,163
Total,1874,2213,1833,1870
