Crime,2013,2014
Simple Assaults,155,168
Assaults on Police,9,13
Annoying Phone Calls,5,6
Bomb Threats,0,3
Child Neglect,31,44
Curfew Violations,0,8
Drugs/Narcotics,498,436
Disorderly Conduct,18,12
Domestic Violence,469,418
Drunkenness,61,73
Embezzlement,33,32
Credit Card Fraud,67,74
Fraud by Swindle,50,89
Forgery,43,69
Hit and Run,117,117
Kidnapping/Abduction,7,12
Missing Person,4,7
Resist Arrest,27,22
Pornography,1,4
Indecent Exposure,3,2
Sexual Assault,23,12
Stalking,3,2
Suicide,2,4
Trespassing,47,58
Vandalism,157,225
Weapons Violations,69,60
All Other Offenses,1056,1023
