Month,2008,2009,2010,2011,2012
January,508,401,438,541,495
February,455,392,353,465,494
March,483,420,490,500,600
April,512,449,477,525,554
May,539,459,592,598,652
June,521,488,591,580,581
July,528,481,607,554,574
August,452,556,558,540,583
September,491,529,531,536,529
October,491,467,481,537,522
November,466,520,483,492,414
December,430,452,434,520,452
Total,5876,5614,6035,6388,6450
