Month,2008,2009,2010,2011,2012
January,86,50,60,62,92
February,84,78,48,54,89
March,65,84,86,80,98
April,108,54,78,71,103
May,138,83,80,82,89
June,96,57,84,85,77
July,84,100,78,95,71
August,93,122,80,85,71
September,67,79,85,92,78
October,99,49,57,119,115
November,88,95,77,83,62
December,64,60,60,124,69
Total,1072,911,873,1032,1014
