Month,2008,2009,2010,2011,2012
January,124,91,229,178,211
February,181,69,136,230,198
March,138,76,184,118,179
April,125,61,214,151,171
May,161,104,163,156,146
June,127,121,125,224,109
July,137,106,205,167,106
August,97,108,131,205,88
September,73,114,127,200,139
October,107,67,122,167,158
November,140,168,100,256,154
December,84,199,138,161,174
Total,1494,1284,1874,2213,1833
