Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,7,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",7,3
Robbery,7,0
Aggravated Assault,30,2
Simple Assault/Intimidation,362,23
Arson,1,0
Extortion/Blackmail,0,0
Burglary,18,6
Larceny,45,6
Motor Vehicle Theft,5,1
Counterfeiting/Forgery,2,0
Fraud,4,0
Embezzlement,5,0
Stolen Property,1,0
Vandalism,24,5
Drug/Narcotic Offenses,49,8
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,1
TOTAL GROUP A,593,55
Bad Checks,53,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,10,
Driving Under Influence,66,1
Drunkenness,5,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,2,1
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,25,1
Conspiracy,0,0
All Other (except Traffic),209,16
TOTAL GROUP B,371,20
GRAND TOTAL,964,75
