Arrests by Offense,Total County,
,Adult,Juvenile
Murder,130,7
Manslaughter,3,0
Kidnaping,272,17
"Sex Offenses, Forcible",690,174
Robbery,454,113
Aggravated Assault,2188,307
Simple Assault/Intimidation,"16,183",2725
Arson,106,117
Extortion/Blackmail,10,2
Burglary,"1,754",591
Larceny,"8,792","2,503"
Motor Vehicle Theft,595,177
Counterfeiting/Forgery,1769,67
Fraud,1286,61
Embezzlement,696,35
Stolen Property,413,55
Vandalism,1794,816
Drug/Narcotic Offenses,10613,1567
"Sex Offenses, Nonforcible",66,12
Pornography,29,5
Gambling,8,0
Prostitution,82,0
Bribery,3,0
Weapon Law Violations,"1,561",284
TOTAL GROUP A,"49,497",9635
Bad Checks,"5,440",12
Curfew/Loitering/Vagrancy,35,673
Disorderly Conduct,"1,776",746
Driving Under Influence,15157,188
Drunkenness,10689,196
"Family Offenses, Nonforcible",308,10
Liquor Laws Violations,"2,020",956
Peeping Tom,38,3
Runaway,0,2326
Trespass of Real Property,2353,367
Conspiracy,66,5
All Other (except Traffic),35648,3060
TOTAL GROUP B,73530,8542
GRAND TOTAL,123027,18177
