Arrests by Offense,Campbell ,
,Adult,Juvenile
Murder,4,1
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",21,5
Robbery,3,0
Aggravated Assault,38,4
Simple Assault/Intimidation,384,29
Arson,0,0
Extortion/Blackmail,2,0
Burglary,31,26
Larceny,64,12
Motor Vehicle Theft,6,10
Counterfeiting/Forgery,16,0
Fraud,61,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,40,9
Drug/Narcotic Offenses,49,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,2
TOTAL GROUP A,748,102
Bad Checks,139,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,10,
Driving Under Influence,93,5
Drunkenness,45,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,10,5
Peeping Tom,1,0
Runaway,0,5
Trespass of Real Property,40,11
Conspiracy,0,0
All Other (except Traffic),362,4
TOTAL GROUP B,701,30
GRAND TOTAL,1449,132
