Arrests by Offense,Buckingham ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,3
Robbery,1,0
Aggravated Assault,27,4
Simple Assault/Intimidation,157,29
Arson,1,1
Extortion/Blackmail,1,0
Burglary,38,6
Larceny,27,4
Motor Vehicle Theft,1,4
Counterfeiting/Forgery,6,0
Fraud,1,0
Embezzlement,0,0
Stolen Property,6,0
Vandalism,31,6
Drug/Narcotic Offenses,25,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,0
TOTAL GROUP A,344,60
Bad Checks,22,1
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,4,2
Driving Under Influence,86,2
Drunkenness,16,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,13,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,30,2
Conspiracy,0,0
All Other (except Traffic),184,18
TOTAL GROUP B,357,27
GRAND TOTAL,701,87
