Arrests by Offense,Radford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,46,5
"Sex Offenses, Forcible",78,12
Robbery,59,8
Aggravated Assault,97,28
Simple Assault/Intimidation,"2,475",599
Arson,14,9
Extortion/Blackmail,0,10
Burglary,160,77
Larceny,976,546
Motor Vehicle Theft,56,24
Counterfeiting/Forgery,103,6
Fraud,106,5
Embezzlement,80,3
Stolen Property,32,9
Vandalism,183,128
Drug/Narcotic Offenses,1719,244
"Sex Offenses, Nonforcible",10,4
Pornography,3,0
Gambling,,0
Prostitution,45,1
Bribery,0,0
Weapon Law Violations,169,59
TOTAL GROUP A,"6,412",1777
Bad Checks,96,0
Curfew/Loitering/Vagrancy,14,891
Disorderly Conduct,856,208
Driving Under Influence,2350,13
Drunkenness,3611,19
"Family Offenses, Nonforcible",32,1
Liquor Laws Violations,"1,112",356
Peeping Tom,8,2
Runaway,0,3
Trespass of Real Property,441,161
Conspiracy,0,0
All Other (except Traffic),10021,961
TOTAL GROUP B,18541,2615
GRAND TOTAL,24953,4392
