Arrests by Offense,Westmoreland,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",7,1
Robbery,1,0
Aggravated Assault,12,2
Simple Assault/Intimidation,82,12
Arson,4,1
Extortion/Blackmail,0,0
Burglary,18,7
Larceny,30,12
Motor Vehicle Theft,11,7
Counterfeiting/Forgery,3,0
Fraud,13,1
Embezzlement,1,0
Stolen Property,1,0
Vandalism,12,7
Drug/Narcotic Offenses,17,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,2
TOTAL GROUP A,220,57
Bad Checks,78,0
Curfew/Loitering/Vagrancy,,3
Disorderly Conduct,11,1
Driving Under Influence,69,1
Drunkenness,99,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,4,7
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,7,0
Conspiracy,2,0
All Other (except Traffic),188,41
TOTAL GROUP B,458,54
GRAND TOTAL,678,111
