Arrests by Offense,Winchester,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",12,5
Robbery,7,5
Aggravated Assault,8,5
Simple Assault/Intimidation,182,42
Arson,0,2
Extortion/Blackmail,0,0
Burglary,7,6
Larceny,214,177
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,12,0
Fraud,26,2
Embezzlement,6,1
Stolen Property,8,2
Vandalism,23,12
Drug/Narcotic Offenses,326,18
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,2
TOTAL GROUP A,852,279
Bad Checks,190,1
Curfew/Loitering/Vagrancy,,2
Disorderly Conduct,21,
Driving Under Influence,300,5
Drunkenness,103,0
"Family Offenses, Nonforcible",11,1
Liquor Laws Violations,118,28
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,13,8
Conspiracy,0,0
All Other (except Traffic),865,31
TOTAL GROUP B,1621,78
GRAND TOTAL,2473,357
