Arrests by Offense,Waynesboro,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,7,1
"Sex Offenses, Forcible",15,2
Robbery,15,4
Aggravated Assault,71,11
Simple Assault/Intimidation,242,27
Arson,2,0
Extortion/Blackmail,0,0
Burglary,32,4
Larceny,128,21
Motor Vehicle Theft,16,5
Counterfeiting/Forgery,25,5
Fraud,35,1
Embezzlement,16,1
Stolen Property,9,0
Vandalism,44,3
Drug/Narcotic Offenses,126,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,1
TOTAL GROUP A,804,98
Bad Checks,35,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,15,4
Driving Under Influence,111,3
Drunkenness,162,6
"Family Offenses, Nonforcible",9,
Liquor Laws Violations,18,16
Peeping Tom,0,0
Runaway,0,79
Trespass of Real Property,23,12
Conspiracy,0,0
All Other (except Traffic),444,70
TOTAL GROUP B,817,190
GRAND TOTAL,1621,288
