Arrests by Offense,Halifax,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",5,1
Robbery,7,1
Aggravated Assault,33,2
Simple Assault/Intimidation,163,9
Arson,2,0
Extortion/Blackmail,0,0
Burglary,12,3
Larceny,62,11
Motor Vehicle Theft,4,4
Counterfeiting/Forgery,5,0
Fraud,4,0
Embezzlement,5,0
Stolen Property,2,0
Vandalism,7,0
Drug/Narcotic Offenses,81,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,2
TOTAL GROUP A,425,37
Bad Checks,4,0
Curfew/Loitering/Vagrancy,,3
Disorderly Conduct,9,7
Driving Under Influence,79,0
Drunkenness,60,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,5,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,14,0
Conspiracy,0,0
All Other (except Traffic),350,11
TOTAL GROUP B,521,23
GRAND TOTAL,946,60
