Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",16,4
Robbery,2,1
Aggravated Assault,39,4
Simple Assault/Intimidation,217,13
Arson,2,0
Extortion/Blackmail,0,0
Burglary,29,1
Larceny,90,8
Motor Vehicle Theft,14,4
Counterfeiting/Forgery,19,0
Fraud,17,0
Embezzlement,4,0
Stolen Property,6,0
Vandalism,31,1
Drug/Narcotic Offenses,208,10
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,1
TOTAL GROUP A,722,47
Bad Checks,189,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,29,3
Driving Under Influence,376,4
Drunkenness,498,2
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,201,11
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,79,1
Conspiracy,3,0
All Other (except Traffic),999,8
TOTAL GROUP B,2379,29
GRAND TOTAL,3101,76
