Arrests by Offense,Stafford,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,8,1
"Sex Offenses, Forcible",15,5
Robbery,8,6
Aggravated Assault,59,7
Simple Assault/Intimidation,640,164
Arson,1,2
Extortion/Blackmail,0,0
Burglary,32,19
Larceny,206,52
Motor Vehicle Theft,28,6
Counterfeiting/Forgery,29,0
Fraud,31,2
Embezzlement,32,0
Stolen Property,12,1
Vandalism,79,19
Drug/Narcotic Offenses,577,116
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,45,11
TOTAL GROUP A,"1,808",411
Bad Checks,435,1
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,30,25
Driving Under Influence,606,7
Drunkenness,359,5
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,102,58
Peeping Tom,2,0
Runaway,0,113
Trespass of Real Property,62,12
Conspiracy,2,0
All Other (except Traffic),1539,197
TOTAL GROUP B,3140,418
GRAND TOTAL,4948,829
