Date ,Report Type ,Street ,Sub-Division
6/13/2005,"ASSAULT, SIMPLE, DOMESTIC ",1-64 W & LIGHTFOOT ROAD EXIT ,BRUTON
1/11/2005,"DAMAGE PROPERTY, PRIVATE ",AIRPORT ROAD ,BRUTON
6/15/2005,DRINKING WHILE OPERATING MOTOR VEHICLE ,AIRPORT ROAD & EAST ROCHAMBEAU DRIVE ,BRUTON
6/15/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,AIRPORT ROAD & EAST ROCHAMBEAU DRIVE ,BRUTON
6/15/2005,FAIL TO OBEY SIGNS/ BOND SURRENDER/ IMPROP EQUIP ,AIRPORT ROAD & EAST ROCHAMBEAU DRIVE ,BRUTON
2/25/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,AIRPORT ROAD & MOORETOWN ROAD ,BRUTON
2/25/2005,POSSESSION OF CONTROLLED SUBSTANCES ,AIRPORT ROAD & MOORETOWN ROAD ,BRUTON
4/22/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,AIRPORT ROAD & MOORETOWN ROAD ,BRUTON
8/14/2005,POSSESSION OF MARIJUANA ,AIRPORT ROAD & MOORETOWN ROAD ,BRUTON
9/4/2005,"DAMAGE PROPERTY, PRIVATE ",BACK FORTY LOOP ,SKIMINNO LANDING ESTATES
2/1/2005,DEAD ON ARRIVAL ,BARLOW ROAD ,SKIMINO
2/20/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARLOW ROAD ,SKIMINO
2/26/2005,INVOLUNTARY MANSLAUGHTER ,BARLOW ROAD ,SKIMINO
3/6/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
3/6/2005,GRAND LARCENY ,BARLOW ROAD ,SKIMINO
3/14/2005,BRANDISHING FIREARM ,BARLOW ROAD ,SKIMINO
4/3/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
6/1/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
6/1/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
6/1/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
6/6/2005,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,SKIMINO
6/8/2005,ATTEMPTED SUICIDE ,BARLOW ROAD ,SKIMINO
6/23/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARLOW ROAD ,SKIMINO
7/14/2005,"DAMAGE PROPERTY, BUSINESS ",BARLOW ROAD ,SKIMINO
7/14/2005,UNAUTHORIZED USE OF VEHICLE ,BARLOW ROAD ,SKIMINO
7/28/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARLOW ROAD ,SKIMINO
4/8/2005,THROWING OBJECT AT MOVING VEHICLE ,BARLOW ROAD & SKIMINO ROAD ,SKIMINO
4/19/2005,"ASSAULT, SIMPLE ",BRITTANIA DRIVE ,QUEENS LAKE ESTATES
5/27/2005,"BURGLARY, BUSINESS ",BULIFANTS BOULEVARD ,INTERNATIONAL CENTER
5/27/2005,"DAMAGE PROPERTY, BUSINESS ",BULIFANTS BOULEVARD ,INTERNATIONAL CENTER
6/23/2005,"BURGLARY, BUSINESS ",BULIFANTS BOULEVARD ,INTERNATIONAL CENTER
5/22/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
9/15/2005,GRAND LARCENY ,CAMERON CIRCLE ,FAIRFIELD GOVERNERS GREEN
2/5/2005,CITIZEN REQUESTED ASSISTANCE ,CHERWELL COURT ,BANBURY COURT
5/10/2005,CREDIT CARD THEFT ,CHERWELL COURT ,BANBURY COURT
6/4/2005,"LARCENY,FROM MOTOR VEHICLE ",CHERWELL COURT ,BANBURY COURT
1/3/2005,CITIZEN REQUESTED ASSISTANCE ,DEER PATH ROAD ,SKIMINO FARMS
5/25/2005,IDENTITY FRAUD ,DEVONSHIRE DRIVE ,BANBERRY CROSS
1/7/2005,"ASSAULT, SIMPLE, DOMESTIC ",EAST ROCHAMBEAU ,BRUTON
12/7/2005,MOTOR VEHICLE THEFT ,EAST ROCHAMBEAU & AIRPORT ROAD ,BRUTON
1/7/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
1/9/2005,"ASSAULT, SIMPLE, DOMESTIC ",EAST ROCHAMBEAU DRIVE ,BRUTON
1/9/2005,CONCEALMENT/PRICE CHANGING ,EAST ROCHAMBEAU DRIVE ,BRUTON
1/11/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
1/12/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
1/12/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
2/1/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
2/9/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
2/9/2005,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,BRUTON
2/9/2005,RECKLESS DRIVING - EXCESSIVE SPEED ,EAST ROCHAMBEAU DRIVE ,BRUTON
2/11/2005,"COUNTERFEITING/FORGERY, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,BRUTON
2/18/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
2/22/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
2/28/2005,POSSESS WEAPON ON SCHOOL PROPERTY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/3/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/4/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/4/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/11/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/14/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/15/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/17/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/23/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/23/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/24/2005,"BURGLARY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/24/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/24/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/25/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
3/25/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/29/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/14/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
4/14/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/17/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/18/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/19/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/22/2005,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
4/25/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
4/25/2005,ELUDING POLICE ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/25/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
4/28/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
4/29/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/4/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/6/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
5/6/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
5/12/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/13/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/13/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/13/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/15/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/15/2005,REFUSE BLOOD/BREATH TEST ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/20/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
5/20/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/25/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/27/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
5/31/2005,EMBEZZLEMENT <$200 ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/1/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
6/3/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/3/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/11/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/12/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/16/2005,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/20/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/22/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
6/23/2005,"FORGING, UTTERING ",EAST ROCHAMBEAU DRIVE ,BRUTON
6/23/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
6/24/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
6/24/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/2/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/8/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
7/8/2005,STEAL OR TAMPER WITH COIN OPERATED EQUIPMENT ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/11/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
7/18/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/18/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/28/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/28/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/29/2005,IDENTITY FRAUD ,EAST ROCHAMBEAU DRIVE ,BRUTON
7/30/2005,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/7/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
8/7/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/10/2005,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/11/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/12/2005,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/15/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
8/21/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/21/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
8/24/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
8/26/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
8/31/2005,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
8/31/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/2/2005,BRANDISHING FIREARM ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/2/2005,EMBEZZLEMENT <$200 ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/3/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/3/2005,TRESPASSING ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/5/2005,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/7/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/7/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/11/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/12/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
9/14/2005,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
9/17/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
9/19/2005,FORGERY BY CHECK ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/19/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
9/30/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
10/3/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
10/14/2005,"BURGLARY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
10/14/2005,"DAMAGE PROPERTY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,BRUTON
10/20/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
10/26/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
