Date ,Report Type ,Street ,Zip ,Area ,ED ,N#
10/18/2015,MAIMING ,OLD SEAFORD ROAD ,23696,200,3,179
8/6/2004,"DAMAGE PROPERTY, PRIVATE ",ORION COURT ,23696,100,5,114
8/6/2004,"LARCENY,FROM MOTOR VEHICLE ",ORION COURT ,23696,100,5,114
8/20/2004,"LARCENY,FROM MOTOR VEHICLE ",ORION COURT ,23696,100,5,114
1/10/2004,"ASSAULT, SIMPLE ",PAMELA PLACE ,23696,200,3,86
11/27/2015,IDENTITY FRAUD ,PARK LANE ,23696,200,3,247
8/12/2004,"FRAUD, ALL OTHERS ",PERRIN CIRCLE ,23696,200,3,167
12/7/2015,CITIZEN REQUESTED ASSISTANCE ,PRESSON ROAD ,23696,200,3,179
6/30/2004,TRESPASSING ,PUTNAM DRIVE ,23696,200,3,167
4/20/2004,"LARCENY,FROM MOTOR VEHICLE ",ROBANNA DRIVE ,23696,200,3,167
2/2/2004,OBSCENE/THREATENING PHONE CALL ,SEAFORD ROAD ,23696,200,3,179
2/3/2004,INTERFERING W/DUTIES OF POLICE OFFICER ,SEAFORD ROAD ,23696,200,3,179
2/4/2004,"LARCENY, ALL OTHERS ",SEAFORD ROAD ,23696,200,3,179
2/17/2004,"COUNTERFEITING/FORGERY, ALL OTHERS ",SEAFORD ROAD ,23696,200,3,179
2/17/2004,OBTAINING MONEY BY FALSE PRETENSES ,SEAFORD ROAD ,23696,200,3,179
3/3/2004,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,23696,200,3,179
3/14/2004,VIOLATE PROTECTIVE ORDERS ,SEAFORD ROAD ,23696,200,3,179
3/31/2004,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,23696,200,3,179
4/27/2004,PETIT LARCENY ,SEAFORD ROAD ,23696,200,3,179
5/1/2004,"ASSAULT, SIMPLE, DOMESTIC ",SEAFORD ROAD ,23696,200,3,179
5/12/2004,THREATEN BODILY HARM ,SEAFORD ROAD ,23696,200,3,179
6/7/2004,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,23696,200,3,179
6/19/2004,"BURGLARY, RESIDENTIAL ",SEAFORD ROAD ,23696,200,3,179
6/19/2004,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,23696,200,3,179
6/19/2004,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,23696,200,3,179
6/19/2004,GRAND LARCENY ,SEAFORD ROAD ,23696,200,3,179
6/19/2004,PETIT LARCENY ,SEAFORD ROAD ,23696,200,3,179
7/21/2004,GRAND LARCENY ,SEAFORD ROAD ,23696,200,3,179
7/21/2004,PETIT LARCENY ,SEAFORD ROAD ,23696,200,3,179
7/30/2004,ANNOYING PHONE CALLS ,SEAFORD ROAD ,23696,200,3,179
7/30/2004,OBSCENE/THREATENING PHONE CALL ,SEAFORD ROAD ,23696,200,3,179
8/2/2004,STALKING ,SEAFORD ROAD ,23696,200,3,179
8/4/2004,"ASSAULT, SIMPLE, DOMESTIC ",SEAFORD ROAD ,23696,200,3,179
8/16/2004,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,23696,200,3,179
10/5/2015,"BURGLARY, RESIDENTIAL ",SEAFORD ROAD ,23696,200,3,179
10/5/2015,GRAND LARCENY ,SEAFORD ROAD ,23696,200,3,179
10/13/2015,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,23696,200,3,179
10/23/2015,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,23696,200,3,179
10/27/2015,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,23696,200,3,179
12/12/2015,"ASSAULT, SIMPLE, DOMESTIC ",SEAFORD ROAD ,23696,200,3,179
12/16/2015,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,23696,200,3,179
12/31/2015,OBSCENE/THREATENING PHONE CALL ,SEAFORD ROAD ,23696,200,3,179
5/10/2004,DRIVING W/SUSPENDED OR REVOKED LICENSE ,SEAFORD ROAD & BACK CREED ROAD ,23696,200,3,179
2/1/2004,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD & OLD SEAFORD ,23696,200,3,179
4/21/2004,CITIZEN REQUESTED ASSISTANCE ,SHARON DRIVE ,23696,200,3,25
4/21/2004,TRESPASSING ,SHARON DRIVE ,23696,200,3,25
10/24/2015,"LARCENY,FROM MOTOR VEHICLE ",SHARON DRIVE ,23696,200,3,25
2/7/2004,ABDUCTION & KIDNAPPING ,SIR JOHN WAY ,23696,200,3,193
2/7/2004,"ASSAULT, SIMPLE ",SIR JOHN WAY ,23696,200,3,193
4/12/2004,TAMPERING WITH AUTO ,SIR JOHN WAY ,23696,200,3,193
4/12/2004,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVER ,SIR JOHN WAY,23696,200,3,193
10/24/2015,"LARCENY,FROM MOTOR VEHICLE ",SIR JOHN WAY ,23696,200,3,193
1/17/2004,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,23696,200,3,193
5/7/2004,"ASSAULT, AGGRAVATED, DOMESTIC ",SOMMERVILLE WAY ,23696,200,3,193
5/8/2004,PETIT LARCENY ,SOMMERVILLE WAY ,23696,200,3,193
6/1/2004,VIOLATION OF COURT ORDER ,SOMMERVILLE WAY ,23696,200,3,193
6/27/2004,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,23696,200,3,193
10/18/2015,"ASSAULT, SIMPLE, DOMESTIC ",SOMMERVILLE WAY ,23696,200,3,193
11/1/2015,CITIZEN REQUESTED ASSISTANCE ,SOMMERVILLE WAY ,23696,200,3,193
11/1/2015,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,23696,200,3,193
8/23/2004,"ASSAULT, SIMPLE, DOMESTIC ",SPARRER ROAD ,23696,200,3,30
12/31/2015,"DAMAGE PROPERTY, PRIVATE ",TUE MARSH LANE ,23696,200,3,211
2/6/2004,GRAND LARCENY ,WATERVIEW ROAD ,23696,200,3,631
1/22/2004,CITIZEN REQUESTED ASSISTANCE ,WHITES LANE ,23696,200,3,179
7/8/2004,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",WHITES LANE,23696,200,3,179
12/7/2015,GRAND LARCENY ,WILEY ROAD ,23696,200,3,179
1/4/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
1/18/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
1/28/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
2/6/2004,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANC ,WINSOME HAVEN DRIVE,23696,200,3,23
2/24/2004,PETIT LARCENY ,WINSOME HAVEN DRIVE ,23696,200,3,23
3/5/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
3/11/2004,"BURGLARY, RESIDENTIAL ",WINSOME HAVEN DRIVE ,23696,200,3,23
3/11/2004,GRAND LARCENY ,WINSOME HAVEN DRIVE ,23696,200,3,23
4/27/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
6/5/2004,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23696,200,3,23
7/9/2004,RUNAWAY JUVENILE ,WINSOME HAVEN DRIVE ,23696,200,3,23
7/24/2004,PROBATION VIOLATION - JUVENILE ,WINSOME HAVEN DRIVE ,23696,200,3,23
7/24/2004,RUNAWAY JUVENILE ,WINSOME HAVEN DRIVE ,23696,200,3,23
11/2/2015,"LARCENY,FROM MOTOR VEHICLE ",WINSOME HAVEN DRIVE ,23696,200,3,23
12/6/2015,CREDIT CARD FRAUD ,WINSOME HAVEN DRIVE ,23696,200,3,23
12/5/2015,"ASSAULT, SIMPLE ",WORNOM DRIVE ,23696,200,3,57
1/19/2004,CITIZEN REQUESTED ASSISTANCE ,YORK POINT DRIVE ,23696,200,3,242
4/26/2004,"BURGLARY, BUSINESS ",YORK POINT DRIVE ,23696,200,3,242
4/26/2004,"DAMAGE PROPERTY, BUSINESS ",YORK POINT DRIVE ,23696,200,3,242
4/26/2004,GRAND LARCENY ,YORK POINT DRIVE ,23696,200,3,242
6/1/2004,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANC ,YORK POINT DRIVE,23696,200,3,242
