NUMBER OF OFFENSES,,,CLEARED BY ARREST OR EXCEPTIONAL MEANS,
2008,2009,,2008,2009
0,0,HOMICIDE,0,0
4,0,RAPE,2,0
7,9,ROBBERY,5,5
103,127,ASSAULT,87,104
12,13,BURGLARY,5,5
225,178,LARCENY,50,68
8,11,AUTO THEFT,5,4
359,338,TOTALS,154,186
