Address,DateTime,Number,Type,Category
PRICES FORK RD  / BROOKSFIELD RD,2018-01-01,2018-00000003,Traffic Stop,Traffic
PRICES FORK RD  / DOUBLETREE LN,2018-01-01,2018-00000004,Traffic Stop,Traffic
PEPPERS FERRY RD  / CONSTITUTION RD,2018-01-01,2018-00000005,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-01,2018-00000008,Traffic Stop,Traffic
5500 BLOCK BLUE SPRINGS RD,2018-01-01,2018-00000009,Hit and Run,Traffic
3700 BLOCK SENECA HOLLOW RD,2018-01-01,2018-00000014,Traffic Stop,Traffic
1700 BLOCK NORTH FORK RD,2018-01-01,2018-00000017,Motor Vehicle Crash- W/Injuries,Traffic
1700 BLOCK NORTH FORK RD,2018-01-01,2018-00000001,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-01,2018-00000024,Traffic Stop,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-01-01,2018-00000045,Traffic Hazard,Traffic
2400 BLOCK CRAB CREEK RD,2018-01-01,2018-00000047,Traffic Hazard,Traffic
,2018-01-02,2018-00000047,Traffic Stop,Traffic
TYLER RD  / CHILDRESS RD,2018-01-02,2018-00000063,Motor Vehicle Crash,Traffic
ROANOKE RD / DARK RUN RD,2018-01-02,2018-00000073,Traffic Stop,Traffic
1300 BLOCK ROCK RD,2018-01-02,2018-00000075,Traffic Hazard,Traffic
3600 BLOCK RADFORD RD,2018-01-02,2018-00000090,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-01-03,2018-00000185,Traffic Stop,Traffic
,2018-01-03,2018-00000009,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-03,2018-00000031,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-03,2018-00000012,Motor Vehicle Crash- W/Injuries,Traffic
LOVELY MOUNT DR  / DRY VALLEY RD,2018-01-03,2018-00000120,Traffic Stop,Traffic
2300 BLOCK TYLER RD,2018-01-03,2018-00000121,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-01-03,2018-00000122,Traffic Stop,Traffic
3200 BLOCK RINER RD,2018-01-03,2018-00000126,Traffic Stop,Traffic
MEADOW CREEK RD  / RINER RD,2018-01-03,2018-00000130,Traffic Stop,Traffic
RINER RD  / LIFE DR,2018-01-03,2018-00000132,Traffic Stop,Traffic
LIFE DR  / RINER RD,2018-01-03,2018-00000134,Traffic Stop,Traffic
CROWN RD / ROANOKE RD,2018-01-03,2018-00000143,Motor Vehicle Crash,Traffic
9300 BLOCK ROANOKE RD,2018-01-03,2018-00000148,Motor Vehicle Crash,Traffic
